date,tahun,price,delta
1/1/2018,2018,13000,0
1/8/2018,2018,13500,500
1/15/2018,2018,13700,200
1/22/2018,2018,14000,300
1/29/2018,2018,14000,0
2/5/2018,2018,14200,200
2/12/2018,2018,14300,100
2/19/2018,2018,14150,-150
2/26/2018,2018,13900,-250
3/5/2018,2018,13750,-150
3/12/2018,2018,13650,-100
3/19/2018,2018,13600,-50
3/26/2018,2018,13600,0
4/2/2018,2018,13550,-50
4/9/2018,2018,13500,-50
4/16/2018,2018,13100,-400
4/23/2018,2018,13050,-50
4/30/2018,2018,13050,0
5/7/2018,2018,12950,-100
5/14/2018,2018,12950,0
5/21/2018,2018,13000,50
5/28/2018,2018,13000,0
6/4/2018,2018,13000,0
6/11/2018,2018,13000,0
6/18/2018,2018,13000,0
6/25/2018,2018,13000,0
7/2/2018,2018,13000,0
7/9/2018,2018,13050,50
7/16/2018,2018,13050,0
7/23/2018,2018,13050,0
7/30/2018,2018,13050,0
8/6/2018,2018,13100,50
8/13/2018,2018,13150,50
8/20/2018,2018,13200,50
8/27/2018,2018,13200,0
9/3/2018,2018,13200,0
9/10/2018,2018,13200,0
9/17/2018,2018,13200,0
9/24/2018,2018,13200,0
10/1/2018,2018,13200,0
10/8/2018,2018,13150,-50
10/15/2018,2018,13100,-50
10/22/2018,2018,13100,0
10/29/2018,2018,13000,-100
11/5/2018,2018,12450,-550
11/12/2018,2018,12450,0
11/19/2018,2018,12450,0
11/26/2018,2018,12450,0
12/3/2018,2018,12450,0
12/10/2018,2018,12450,0
12/17/2018,2018,12500,50
12/24/2018,2018,12550,50
12/31/2018,2019,12700,150
1/7/2019,2019,12950,250
1/14/2019,2019,13000,50
1/21/2019,2019,12950,-50
1/28/2019,2019,12950,0
2/4/2019,2019,12950,0
2/11/2019,2019,12950,0
2/18/2019,2019,12850,-100
2/25/2019,2019,12800,-50
3/4/2019,2019,12750,-50
3/11/2019,2019,12750,0
3/18/2019,2019,12750,0
3/25/2019,2019,12700,-50
4/1/2019,2019,12700,0
4/8/2019,2019,12550,-150
4/15/2019,2019,12550,0
4/22/2019,2019,12550,0
4/29/2019,2019,12550,0
5/6/2019,2019,12600,50
5/13/2019,2019,12600,0
5/20/2019,2019,12600,0
5/27/2019,2019,12600,0
6/3/2019,2019,12600,0
6/10/2019,2019,12600,0
6/17/2019,2019,12600,0
6/24/2019,2019,12600,0
7/1/2019,2019,12600,0
7/8/2019,2019,12600,0
7/15/2019,2019,12600,0
7/22/2019,2019,12600,0
7/29/2019,2019,12600,0
8/5/2019,2019,12600,0
8/12/2019,2019,12600,0
8/19/2019,2019,12600,0
8/26/2019,2019,12600,0
9/2/2019,2019,12600,0
9/9/2019,2019,12650,50
9/16/2019,2019,12700,50
9/23/2019,2019,12700,0
9/30/2019,2019,12700,0
10/7/2019,2019,12700,0
10/14/2019,2019,12700,0
10/21/2019,2019,12700,0
10/28/2019,2019,12700,0
11/4/2019,2019,12700,0
11/11/2019,2019,12700,0
11/18/2019,2019,12700,0
11/25/2019,2019,12650,-50
12/2/2019,2019,12650,0
12/9/2019,2019,12700,50
12/16/2019,2019,12700,0
12/23/2019,2019,12700,0
12/30/2019,2020,12800,100
1/6/2020,2020,13050,250
1/13/2020,2020,13100,50
1/20/2020,2020,13100,0
1/27/2020,2020,13100,0
2/3/2020,2020,13100,0
2/10/2020,2020,13200,100
2/17/2020,2020,13200,0
2/24/2020,2020,13200,0
3/2/2020,2020,13250,50
3/9/2020,2020,13300,50
3/16/2020,2020,13300,0
3/23/2020,2020,13400,100
3/30/2020,2020,13450,50
4/6/2020,2020,13500,50
4/13/2020,2020,13500,0
4/20/2020,2020,13500,0
4/27/2020,2020,13500,0
5/4/2020,2020,13500,0
5/11/2020,2020,13500,0
5/18/2020,2020,13500,0
5/25/2020,2020,13500,0
6/1/2020,2020,13500,0
6/8/2020,2020,13500,0
6/15/2020,2020,13500,0
6/22/2020,2020,13500,0
6/29/2020,2020,13500,0
7/6/2020,2020,13500,0
7/13/2020,2020,13500,0
7/20/2020,2020,13500,0
7/27/2020,2020,13500,0
8/3/2020,2020,13500,0
8/10/2020,2020,13500,0
8/17/2020,2020,13450,-50
8/24/2020,2020,13450,0
8/31/2020,2020,13450,0
9/7/2020,2020,13450,0
9/14/2020,2020,13450,0
9/21/2020,2020,13450,0
9/28/2020,2020,13450,0
10/5/2020,2020,13450,0
10/12/2020,2020,13450,0
10/19/2020,2020,13450,0
10/26/2020,2020,13450,0
11/2/2020,2020,13400,-50
11/9/2020,2020,13450,50
11/16/2020,2020,13450,0
11/23/2020,2020,13450,0
11/30/2020,2020,13450,0
12/7/2020,2020,13450,0
12/14/2020,2020,13450,0
12/21/2020,2020,13450,0
12/28/2020,2021,13450,0
1/4/2021,2021,13450,0
1/11/2021,2021,13450,0
1/18/2021,2021,13450,0
1/25/2021,2021,13450,0
2/1/2021,2021,13450,0
2/8/2021,2021,13450,0
2/15/2021,2021,13450,0
2/22/2021,2021,13450,0
3/1/2021,2021,13450,0
3/8/2021,2021,13450,0
3/15/2021,2021,13400,-50
3/22/2021,2021,13400,0
3/29/2021,2021,13400,0
4/5/2021,2021,13350,-50
4/12/2021,2021,13400,50
4/19/2021,2021,13450,50
4/26/2021,2021,13450,0
5/3/2021,2021,13400,-50
5/10/2021,2021,13400,0
5/17/2021,2021,13400,0
5/24/2021,2021,13400,0
5/31/2021,2021,13400,0
6/7/2021,2021,13400,0
6/14/2021,2021,13400,0
6/21/2021,2021,13400,0
6/28/2021,2021,13350,-50
7/5/2021,2021,13350,0
7/12/2021,2021,13300,-50
7/19/2021,2021,13250,-50
7/26/2021,2021,13250,0
8/2/2021,2021,13250,0
8/9/2021,2021,13250,0
8/16/2021,2021,13250,0
8/23/2021,2021,13250,0
8/30/2021,2021,13250,0
9/6/2021,2021,13250,0
9/13/2021,2021,13250,0
9/20/2021,2021,13250,0
9/27/2021,2021,13250,0
10/4/2021,2021,13250,0
10/11/2021,2021,13250,0
10/18/2021,2021,13250,0
10/25/2021,2021,13250,0
11/1/2021,2021,13250,0
11/8/2021,2021,13250,0
11/15/2021,2021,13250,0
11/22/2021,2021,13300,50
11/29/2021,2021,13350,50
