date,year,price,delta
1/1/2018,2018,13500,0
1/8/2018,2018,13450,-50
1/15/2018,2018,13450,0
1/22/2018,2018,13450,0
1/29/2018,2018,13450,0
2/5/2018,2018,13450,0
2/12/2018,2018,13450,0
2/19/2018,2018,13450,0
2/26/2018,2018,13450,0
3/5/2018,2018,13450,0
3/12/2018,2018,13450,0
3/19/2018,2018,13450,0
3/26/2018,2018,13450,0
4/2/2018,2018,13450,0
4/9/2018,2018,13450,0
4/16/2018,2018,13450,0
4/23/2018,2018,13450,0
4/30/2018,2018,13450,0
5/7/2018,2018,13450,0
5/14/2018,2018,13450,0
5/21/2018,2018,13450,0
5/28/2018,2018,13450,0
6/4/2018,2018,13450,0
6/11/2018,2018,13450,0
6/18/2018,2018,13450,0
6/25/2018,2018,13450,0
7/2/2018,2018,13450,0
7/9/2018,2018,13450,0
7/16/2018,2018,13450,0
7/23/2018,2018,13450,0
7/30/2018,2018,13450,0
8/6/2018,2018,13350,-100
8/13/2018,2018,13350,0
8/20/2018,2018,13350,0
8/27/2018,2018,13350,0
9/3/2018,2018,13300,-50
9/10/2018,2018,13300,0
9/17/2018,2018,13300,0
9/24/2018,2018,13300,0
10/1/2018,2018,13300,0
10/8/2018,2018,13300,0
10/15/2018,2018,13300,0
10/22/2018,2018,13300,0
10/29/2018,2018,13300,0
11/5/2018,2018,13300,0
11/12/2018,2018,13300,0
11/19/2018,2018,13150,-150
11/26/2018,2018,13050,-100
12/3/2018,2018,13000,-50
12/10/2018,2018,12900,-100
12/17/2018,2018,12850,-50
12/24/2018,2018,12850,0
12/31/2018,2018,12850,0
1/7/2019,2019,12850,0
1/14/2019,2019,12800,-50
1/21/2019,2019,12800,0
1/28/2019,2019,12800,0
2/4/2019,2019,12850,50
2/11/2019,2019,12850,0
2/18/2019,2019,12850,0
2/25/2019,2019,12850,0
3/4/2019,2019,12850,0
3/11/2019,2019,12850,0
3/18/2019,2019,12850,0
3/25/2019,2019,12850,0
4/1/2019,2019,12850,0
4/8/2019,2019,12850,0
4/15/2019,2019,12850,0
4/22/2019,2019,12850,0
4/29/2019,2019,12850,0
5/6/2019,2019,12850,0
5/13/2019,2019,12850,0
5/20/2019,2019,12850,0
5/27/2019,2019,12850,0
6/3/2019,2019,12850,0
6/10/2019,2019,12850,0
6/17/2019,2019,12850,0
6/24/2019,2019,12850,0
7/1/2019,2019,12850,0
7/8/2019,2019,12850,0
7/15/2019,2019,12750,-100
7/22/2019,2019,12750,0
7/29/2019,2019,12750,0
8/5/2019,2019,12750,0
8/12/2019,2019,12750,0
8/19/2019,2019,12800,50
8/26/2019,2019,12800,0
9/2/2019,2019,12800,0
9/9/2019,2019,12800,0
9/16/2019,2019,12800,0
9/23/2019,2019,12800,0
9/30/2019,2019,12750,-50
10/7/2019,2019,12600,-150
10/14/2019,2019,12600,0
10/21/2019,2019,12600,0
10/28/2019,2019,12600,0
11/4/2019,2019,12650,50
11/11/2019,2019,12700,50
11/18/2019,2019,12750,50
11/25/2019,2019,12750,0
12/2/2019,2019,12850,100
12/9/2019,2019,13050,200
12/16/2019,2019,13050,0
12/23/2019,2019,13050,0
12/30/2019,2019,13050,0
1/6/2020,2020,13750,700
1/13/2020,2020,14000,250
1/20/2020,2020,14050,50
1/27/2020,2020,14150,100
2/3/2020,2020,14050,-100
2/10/2020,2020,14000,-50
2/17/2020,2020,14000,0
2/24/2020,2020,13800,-200
3/2/2020,2020,13800,0
3/9/2020,2020,13750,-50
3/16/2020,2020,13700,-50
3/23/2020,2020,13700,0
3/30/2020,2020,13700,0
4/6/2020,2020,13700,0
4/13/2020,2020,13700,0
4/20/2020,2020,13750,50
4/27/2020,2020,13750,0
5/4/2020,2020,13750,0
5/11/2020,2020,13700,-50
5/18/2020,2020,13700,0
5/25/2020,2020,13700,0
6/1/2020,2020,13700,0
6/8/2020,2020,13700,0
6/15/2020,2020,13700,0
6/22/2020,2020,13700,0
6/29/2020,2020,13700,0
7/6/2020,2020,13750,50
7/13/2020,2020,13750,0
7/20/2020,2020,13800,50
7/27/2020,2020,13850,50
8/3/2020,2020,13850,0
8/10/2020,2020,13850,0
8/17/2020,2020,13850,0
8/24/2020,2020,14050,200
8/31/2020,2020,14100,50
9/7/2020,2020,14500,400
9/14/2020,2020,14550,50
9/21/2020,2020,14800,250
9/28/2020,2020,14850,50
10/5/2020,2020,14800,-50
10/12/2020,2020,14750,-50
10/19/2020,2020,14750,0
10/26/2020,2020,14750,0
11/2/2020,2020,14850,100
11/9/2020,2020,14850,0
11/16/2020,2020,14900,50
11/23/2020,2020,14900,0
11/30/2020,2020,14950,50
12/7/2020,2020,14950,0
12/14/2020,2020,14950,0
12/21/2020,2020,14950,0
12/28/2020,2020,14950,0
1/4/2021,2021,14950,0
1/11/2021,2021,14950,0
1/18/2021,2021,14950,0
1/25/2021,2021,14950,0
2/1/2021,2021,14950,0
2/8/2021,2021,14950,0
2/15/2021,2021,14950,0
2/22/2021,2021,14950,0
3/1/2021,2021,14950,0
3/8/2021,2021,15000,50
3/15/2021,2021,15250,250
3/22/2021,2021,15400,150
3/29/2021,2021,15500,100
4/5/2021,2021,15550,50
4/12/2021,2021,15350,-200
4/19/2021,2021,15350,0
4/26/2021,2021,15400,50
5/3/2021,2021,15400,0
5/10/2021,2021,15550,150
5/17/2021,2021,15750,200
5/24/2021,2021,16050,300
5/31/2021,2021,16050,0
6/7/2021,2021,16000,-50
6/14/2021,2021,16000,0
6/21/2021,2021,16000,0
6/28/2021,2021,15850,-150
7/5/2021,2021,15850,0
7/12/2021,2021,15800,-50
7/19/2021,2021,15850,50
7/26/2021,2021,15950,100
8/2/2021,2021,16450,500
8/9/2021,2021,16550,100
8/16/2021,2021,16600,50
8/23/2021,2021,16650,50
8/30/2021,2021,16650,0
9/6/2021,2021,16700,50
9/13/2021,2021,17000,300
9/20/2021,2021,17100,100
9/27/2021,2021,17100,0
10/4/2021,2021,17250,150
10/11/2021,2021,17550,300
10/18/2021,2021,17600,50
10/25/2021,2021,17950,350
11/1/2021,2021,18700,750
11/8/2021,2021,19400,700
11/15/2021,2021,19550,150
11/22/2021,2021,19650,100
11/29/2021,2021,20100,450
